epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
24,211.906,0.26283,0.22111,0.22752,0.84072,0,0.99756,1,0.995,0.995,0.99756,1,0.995,0.995,0.15192,0.1642,0.13453,0.77563,0,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,220.864,0.25837,0.2502,0.22289,0.82965,0,0.99757,1,0.995,0.995,0.99757,1,0.995,0.995,0.13984,0.16215,0.12822,0.77481,0,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,232.785,0.23731,0.21753,0.21147,0.82624,0,0.9977,1,0.995,0.995,0.9977,1,0.995,0.995,0.14339,0.16371,0.1293,0.7774,0,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,241.271,0.23792,0.2459,0.2155,0.83536,0,0.99756,1,0.995,0.995,0.99756,1,0.995,0.995,0.15109,0.16944,0.13259,0.77682,0,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,249.984,0.24463,0.21019,0.21803,0.82,0,0.99747,1,0.995,0.995,0.99747,1,0.995,0.995,0.15803,0.16463,0.13882,0.77682,0,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,258.438,0.21676,0.18476,0.20035,0.82688,0,0.99755,1,0.995,0.995,0.99755,1,0.995,0.995,0.15037,0.1659,0.1454,0.77653,0,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,267.415,0.2517,0.20572,0.20925,0.83388,0,0.9976,1,0.995,0.995,0.9976,1,0.995,0.995,0.13307,0.16672,0.13028,0.77392,0,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,274.955,0.21698,0.1866,0.19722,0.84575,0,0.99761,1,0.995,0.995,0.99761,1,0.995,0.995,0.13046,0.17013,0.12731,0.77317,0,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,282.786,0.24326,0.20849,0.20948,0.83549,0,0.99761,1,0.995,0.995,0.99761,1,0.995,0.995,0.13067,0.15901,0.12342,0.7723,0,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,290.055,0.2215,0.16643,0.19172,0.82304,0,0.99767,1,0.995,0.995,0.99767,1,0.995,0.995,0.13944,0.1496,0.14486,0.77391,0,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,296.778,0.23555,0.195,0.20572,0.82536,0,0.99766,1,0.995,0.995,0.99766,1,0.995,0.995,0.14074,0.15325,0.12877,0.774,0,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
